Price,District,City,Town,Type,EnergyCertificate,Floor,Lift,Parking,HasParking,ConstructionYear,TotalArea,GrossArea,PublishDate,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,ConservationStatus,LivingArea,LotSize,BuiltArea,NumberOfBathrooms
880000.0,Faro,Silves,Silves,Land,NC,,False,0.0,False,,3700.0,,,,,,,,,,,,,0.0
220000.0,Faro,Albufeira,Guia,Apartment,D,2nd Floor,False,0.0,False,1989.0,47.0,58.0,,,,,1.0,,,,47.0,,,1.0
335000.0,Faro,Lagoa (Algarve),Estômbar e Parchal,House,E,Ground Floor,False,0.0,False,1962.0,162.0,,,,,,2.0,,,,66.0,,,2.0
470000.0,Faro,Silves,Armação de Pêra,Apartment,A,3rd Floor,True,2.0,True,,1253.0,98.0,,,,,2.0,,,,87.0,,,2.0
470000.0,Faro,Silves,Armação de Pêra,Apartment,A,3rd Floor,True,2.0,True,,1253.0,105.0,,,,,2.0,,,,83.0,,,2.0
520000.0,Faro,Silves,Armação de Pêra,Apartment,A,4th Floor,True,2.0,True,,1253.0,129.0,,,,,3.0,,,,103.0,,,3.0
560000.0,Faro,Silves,Armação de Pêra,Apartment,B,4th Floor,True,2.0,True,,1253.0,129.0,,,,,3.0,,,,103.0,,,3.0
189000.0,Faro,Portimão,Portimão,Apartment,C,3rd Floor,True,0.0,False,1974.0,75.0,,,,,,2.0,,,,75.0,,,1.0
185000.0,Faro,Lagoa (Algarve),Lagoa e Carvoeiro,Apartment,D,3rd Floor,False,0.0,False,1994.0,40.0,,,,,,1.0,,,,38.0,,,
2500.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,B-,1st Floor,True,0.0,False,1985.0,10368.0,35.0,,,,,0.0,,,,30.0,,,1.0
6000.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,B-,1st Floor,True,0.0,False,1985.0,10368.0,35.0,,,,,0.0,,,,30.0,,,1.0
6500.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,B-,1st Floor,True,0.0,False,1985.0,10368.0,35.0,,,,,0.0,,,,30.0,,,1.0
2500.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,B-,1st Floor,True,0.0,False,1985.0,10368.0,35.0,,,,,0.0,,,,30.0,,,1.0
258000.0,Faro,Portimão,Portimão,Apartment,D,Ground Floor,False,0.0,False,1989.0,78.0,96.0,,,,,2.0,,,,78.0,,,1.0
185000.0,Faro,Silves,Armação de Pêra,Apartment,E,6th Floor,True,1.0,True,1975.0,43.0,,,,,,1.0,,,,49.0,,,
799000.0,Faro,Faro,Montenegro,House,B,,False,3.0,True,,305.0,,,,,,4.0,,,,265.0,,,6.0
370000.0,Faro,Silves,Armação de Pêra,Apartment,B,Ground Floor,True,1.0,True,,1253.0,80.0,,,,,2.0,,,,69.0,,,2.0
99000.0,Faro,Portimão,Portimão,Office,C,Ground Floor,False,0.0,False,,86.0,,,,,,,,,,,,,0.0
300000.0,Faro,Lagos,Bensafrim e Barão de São João,Land,NC,,False,0.0,False,1958.0,25280.0,,,,,,,,,,,,,
129610.0,Faro,Olhão,Olhão,Store,B-,Ground Floor,False,0.0,False,1984.0,99.0,99.0,,,,,,,,,,,,1.0
430000.0,Faro,Castro Marim,Altura,House,D,,False,1.0,True,1988.0,238.0,,,,,,3.0,,,,147.0,,,3.0
85000.0,Faro,Vila Real de Santo António,Vila Nova de Cacela,Land,NC,,False,0.0,False,,12200.0,12200.0,,,,,,,,,12200.0,,,
990000.0,Faro,Olhão,Moncarapacho e Fuseta,House,A,Ground Floor,False,1.0,True,2016.0,201.0,,,,,,3.0,,,,173.0,,,3.0
320000.0,Faro,Castro Marim,Castro Marim,House,E,,False,0.0,False,1974.0,332.0,,,,,,5.0,,,,146.0,,,1.0
297000.0,Faro,Portimão,Portimão,Apartment,C,2nd Floor,True,1.0,True,2009.0,99.0,126.0,,,,,3.0,,,,126.0,,,2.0
249500.0,Faro,Vila Real de Santo António,Vila Real de Santo António,Apartment,A,2nd Floor,True,0.0,False,2019.0,80.0,,,,,,2.0,,,,72.0,,,2.0
560000.0,Faro,Silves,Armação de Pêra,Apartment,A,4th Floor,True,2.0,True,,1253.0,113.0,,,,,2.0,,,,98.0,,,2.0
850000.0,Faro,Silves,Armação de Pêra,Apartment,B,5th Floor,True,2.0,True,,1253.0,206.0,,,,,4.0,,,,148.0,,,4.0
470000.0,Faro,Silves,Armação de Pêra,Apartment,A,3rd Floor,True,2.0,True,,1253.0,105.0,,,,,2.0,,,,83.0,,,2.0
8800.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,NC,Ground Floor,False,0.0,False,1990.0,58.0,,,,,,1.0,,,,58.0,,,
37000.0,Faro,Silves,Algoz e Tunes,Land,E,,False,0.0,False,,2640.0,2640.0,,,,,,,,,2640.0,,,
390000.0,Faro,São Brás de Alportel,São Brás de Alportel,House,NC,,False,3.0,True,1908.0,1871.0,,,,,,5.0,,,,1208.0,,,
2500.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,B-,1st Floor,True,0.0,False,1985.0,10368.0,35.0,,,,,0.0,,,,30.0,,,1.0
150000.0,Faro,Vila Real de Santo António,Vila Real de Santo António,Apartment,C,Ground Floor,True,0.0,False,2013.0,70.0,77.0,,,,,1.0,,,,70.0,,,1.0
161000.0,Faro,Vila Real de Santo António,Vila Real de Santo António,Apartment,C,Ground Floor,True,0.0,False,2013.0,62.0,68.0,,,,,1.0,,,,62.0,,,1.0
485000.0,Faro,Loulé,Quarteira,Apartment,D,1st Floor,True,1.0,True,1999.0,119.0,,,,,,2.0,,,,71.0,,,2.0
825000.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,A,2nd Floor,True,2.0,True,2023.0,136.0,44.0,,,,,2.0,,,,136.0,,,2.0
279000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,D,1st Floor,False,0.0,False,1982.0,120.0,,,,,,2.0,,,,79.0,,,2.0
190000.0,Faro,Faro,Conceição e Estoi,Land,NC,,False,0.0,False,,51720.0,,,,,,,,,,,,,0.0
359000.0,Faro,Loulé,Quarteira,Apartment,E,4th Floor,True,1.0,True,1984.0,268.0,83.0,,,,,2.0,,,,71.0,,,2.0
990000.0,Faro,Olhão,Moncarapacho e Fuseta,House,A,Ground Floor,False,1.0,True,2016.0,201.0,,,,,,3.0,,,,173.0,,,3.0
990000.0,Faro,Olhão,Moncarapacho e Fuseta,House,A,Ground Floor,False,1.0,True,2016.0,201.0,,,,,,3.0,,,,173.0,,,3.0
289900.0,Faro,Silves,São Bartolomeu de Messines,House,D,,False,2.0,True,2015.0,140.0,,,,,,3.0,,,,140.0,,,4.0
